ID	Phylogeny	Species
DQ207591	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Parabodonida;Parabodo	Parabodo caudatus
DQ207594	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchobodo	Rhynchobodo sp. HFCC304
DQ207595	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ207596	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ207598	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ207599	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ228574	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
DQ228658	Bacteria;Proteobacteria;Gammaproteobacteria;CH2b56;;	uncultured bacterium
DQ234142	Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;uncultured	uncultured Francisella sp.
DQ256087	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Yonghaparkia	Yonghaparkia alkaliphila
DQ270615	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
DQ270625	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Cocleimonas	uncultured bacterium
DQ289938	Bacteria;NB1-j;;;;	uncultured delta proteobacterium
DQ298325	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;	uncultured bacterium
DQ298349	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	uncultured bacterium
DQ307692	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;uncultured	uncultured Actinobacteridae bacterium
DQ316357	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
DQ316360	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
DQ316362	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
DQ316381	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
DQ329138	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. FP44
DQ346955	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia sp. KO1
DQ351799	Bacteria;Schekmanbacteria;;;;	uncultured bacterium
DQ354751	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured bacterium
DQ372838	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	uncultured bacterium
DQ378240	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured soil bacterium
DQ383303	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured Geobacter sp.
DQ383306	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured Geobacter sp.
DQ383313	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured Syntrophus sp.
DQ394362	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Sergeia	Sergeia podlipaevi
DQ394958	Bacteria;Myxococcota;Polyangia;VHS-B3-70;;	uncultured Geobacter sp.
DQ394988	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured delta proteobacterium
DQ395027	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured delta proteobacterium
DQ395427	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	uncultured organism
DQ395453	Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured	uncultured organism
DQ396016	Bacteria;Verrucomicrobiota;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera	uncultured organism
DQ396141	Bacteria;SAR324 clade(Marine group B);;;;	uncultured organism
DQ396146	Bacteria;NB1-j;;;;	uncultured organism
DQ396211	Bacteria;NB1-j;;;;	uncultured organism
DQ396214	Bacteria;SAR324 clade(Marine group B);;;;	uncultured organism
DQ396250	Bacteria;SAR324 clade(Marine group B);;;;	uncultured organism
DQ396330	Bacteria;SAR324 clade(Marine group B);;;;	uncultured organism
DQ397488	Bacteria;Patescibacteria;Dojkabacteria;;;	uncultured candidate division WS6 bacterium
DQ404755	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured bacterium
DQ404777	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured bacterium
DQ404816	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
DQ404834	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
DQ404844	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
DQ415769	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured bacterium
DQ415841	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
DQ415855	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured bacterium
DQ415865	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
DQ444437	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
DQ450173	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chitinibacteraceae;Chitinibacter	uncultured proteobacterium
DQ450812	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured delta proteobacterium
DQ463211	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	uncultured bacterium
DQ463714	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
DQ465517	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ465523	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Rhynchomonas	Rhynchomonas nasuta
DQ504352	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo	uncultured bodonid
DQ520159	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
DQ520172	Bacteria;Actinobacteriota;Acidimicrobiia;uncultured;;	uncultured bacterium
DQ521476	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Chryseoglobus	uncultured bacterium
DQ521483	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Chryseoglobus	uncultured bacterium
DQ521508	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Tessaracoccus	uncultured bacterium
DQ521525	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured bacterium
DQ521796	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;;uncultured	uncultured bacterium
DQ521800	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;;uncultured	uncultured bacterium
DQ648971	Bacteria;Proteobacteria;Alphaproteobacteria;NRL2;;	uncultured Alphaproteobacteria bacterium
DQ676293	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured delta proteobacterium
DQ676377	Bacteria;SAR324 clade(Marine group B);;;;	uncultured gamma proteobacterium
DQ676409	Bacteria;NB1-j;;;;	uncultured delta proteobacterium
DQ676446	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured	uncultured delta proteobacterium
DQ677011	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	Clostridium sp. Iso-A7
DQ677846	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Luteibacter	uncultured gamma proteobacterium
DQ768106	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Archangium	Archangium gephyra
DQ768107	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter armeniaca
DQ768108	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter badius
DQ768109	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter fuscus
DQ768110	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter gracilis
DQ768111	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter miniatus
DQ768112	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter ferrugineus
DQ768113	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Archangium	Archangium minus
DQ768114	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Archangium	Archangium violaceum
DQ768115	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Cystobacter	Cystobacter velatus
DQ768116	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus xanthus
DQ768117	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus fulvus
DQ768118	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus stipitatus
DQ768119	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
DQ768120	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Corallococcus coralloides
DQ768121	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Corallococcus exiguus
DQ768122	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Corallococcus macrosporus
DQ768123	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Pyxidicoccus	Pyxidicoccus fallax
DQ768124	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Hyalangium	Hyalangium minutum
DQ768125	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Melittangium	Melittangium boletus
DQ768126	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	Melittangium lichenicola
DQ768127	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella aurantiaca
DQ768128	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella erecta
DQ768129	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella hybrida
DQ768130	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Myxococcus	Myxococcus virescens
DQ787721	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
DQ793433	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ797192	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured	uncultured bacterium
DQ799518	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ799757	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ801858	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ801937	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	uncultured bacterium
DQ802229	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ802756	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	uncultured bacterium
DQ807311	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ811806	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured delta proteobacterium
DQ811809	Bacteria;SAR324 clade(Marine group B);;;;	uncultured delta proteobacterium
DQ811884	Bacteria;Chloroflexi;Anaerolineae;MSB-5E12;;	uncultured Chloroflexi bacterium
DQ814822	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	uncultured bacterium
DQ815275	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	uncultured bacterium
DQ824015	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ824182	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ833325	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Youngiibacter	uncultured bacterium
DQ833326	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Youngiibacter	uncultured bacterium
DQ852338	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	Proteiniclasticum ruminis
DQ866768	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium	Mycobacterium salmoniphilum
DQ889889	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured	uncultured Enhygromyxa sp.
DQ905101	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ905172	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ905532	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ905687	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
DQ906757	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;uncultured	uncultured Antarctic sea ice bacterium
DQ906827	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;uncultured	uncultured bacterium
DQ906902	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;P3OB-42	uncultured bacterium
DQ910924	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Endotrypanum	Leptomonas neopamerae
DQ917857	Bacteria;Proteobacteria;Gammaproteobacteria;BD72BR169;;	uncultured Vibrio sp.
DQ925889	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
DQ988279	Bacteria;Desulfobacterota;Desulfuromonadia;uncultured;;	uncultured bacterium
EF014475	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia gibsoni
EF016801	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured	uncultured actinobacterium
EF018301	Bacteria;Chloroflexi;Ktedonobacteria;C0119;;	uncultured bacterium
EF018967	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured Geobacteraceae bacterium
EF018970	Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;;uncultured	uncultured bacterium
EF020038	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	uncultured bacterium
EF032750	Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	uncultured delta proteobacterium
EF057099	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Piroplasmida sp. AJB-2006
EF059536	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;	Geobacteraceae bacterium JN18 V95 J
EF061955	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured delta proteobacterium
EF079082	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
EF092160	Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;	uncultured Alphaproteobacteria bacterium
EF092168	Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;	uncultured Alphaproteobacteria bacterium
EF092189	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured	uncultured Polyangiaceae bacterium
EF092197	Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured	uncultured Myxococcales bacterium
EF095988	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	uncultured bacterium
EF096117	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF096750	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF096939	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF097222	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF097606	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF098247	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	uncultured bacterium
EF111173	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured delta proteobacterium
EF112185	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Stigmatella	Stigmatella koreensis
EF125417	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured bacterium
EF139459	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma	Anaplasma platys
EF157244	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Chryseoglobus	uncultured bacterium
EF174499	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum	Clostridium sp. R6T
EF184219	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Leptomonas	Leptomonas jaculum
EF192881	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
EF203201	Bacteria;Nitrospinota;P9X2b3D02;;;	uncultured bacterium
EF208699	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;;uncultured	uncultured bacterium
EF219005	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;;uncultured	uncultured bacterium
EF222257	Eukaryota;SAR;Alveolata;Apicomplexa;Conoidasida;Coccidia;Adeleorina;Hemolivia	Hepatozoon sp. European pine marten 1
EF373534	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Chryseoglobus	Chryseoglobus frigidaquae
EF375882	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. carpio
EF375883	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. fulvidraco
EF375884	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. pseudobagri
EF404985	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella	uncultured bacterium
EF419356	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium	uncultured Eubacteriaceae bacterium
EF420222	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Youngiibacter	uncultured Clostridiales bacterium
EF432542	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Neobodonida;Neobodo	Bodonidae sp. RS407A2
EF458210	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia bovis
EF466130	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Chryseoglobus	Leifsonia sp. MSL 07
EF471696	Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	uncultured actinobacterium
EF515330	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
EF515481	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
EF515513	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
EF515676	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
EF515884	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF516171	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;FCPS473	uncultured bacterium
EF516200	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF516243	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF516405	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF516514	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF516730	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured bacterium
EF520461	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;T34;	uncultured beta proteobacterium
EF520483	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter	uncultured beta proteobacterium
EF520532	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured delta proteobacterium
EF520533	Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20;;	uncultured delta proteobacterium
EF520540	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	uncultured delta proteobacterium
EF527233	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter	Geobacter sp. Ply1
EF527234	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	Geobacter sp. Ply4
EF527427	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea	Geobacter uraniireducens Rf4
EF546786	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Crithidia	Leptomonas tarcoles
EF551335	Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Babesia;	Babesia kiwiensis
EF559081	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106	uncultured bacterium
EF559185	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 15	uncultured bacterium
EF562566	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter	uncultured delta proteobacterium
EF571962	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
EF572392	Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;	uncultured bacterium
EF572567	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF572834	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS7 marine group;	uncultured bacterium
EF572966	Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina	uncultured bacterium
EF573049	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF573664	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF573725	Bacteria;Proteobacteria;Gammaproteobacteria;Coxiellales;Coxiellaceae;Coxiella	uncultured bacterium
EF573752	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF573777	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF574245	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF574726	Bacteria;Desulfobacterota;Desulfuromonadia;PB19;;	uncultured bacterium
EF574859	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF575111	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF575193	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF590021	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured	uncultured bacterium
EF590061	Bacteria;Actinobacteriota;Coriobacteriia;OPB41;;	uncultured bacterium
EF614786	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	uncultured bacterium
EF632752	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus	uncultured bacterium
EF632886	Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;	uncultured bacterium
EF644513	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga	uncultured bacterium
EF645960	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF646146	Bacteria;SAR324 clade(Marine group B);;;;	uncultured bacterium
EF688192	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
EF688246	Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	uncultured bacterium
EF999343	Bacteria;Myxococcota;bacteriap25;;;	uncultured bacterium
EF999373	Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;;	uncultured bacterium
EU021226	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. 316
EU021228	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. 858
EU021232	Eukaryota;Discoba;Discicristata;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosoma	Trypanosoma sp. 362
